Full Text,Author,Creation Time,Hashtags,text,useful tweet
Autumn Sun | sailor_marimoon soaking up some golden warm autumn rays at my favorite Malibu beach which I tend to leave un-named for a reason. This was four days before the Woolsey fire… https://www.instagram.com/p/Bq0UlH7H9e_/?utm_source=ig_twitter_share&igshid=1m0n64gnmqy4q …,StormulaOne,Fri Nov 30 20:16:20 +0000 2018,,autumn sun | sailor_marimoon soaking up some golden warm autumn rays at my favorite malibu beach which i tend to leave un-named for a reason. this was four days before the woolsey fire… …,False
"Nov 8th the Woolsey fire broke out and burned 96,949 acres and over 1000 structures. Nov 9 Malibu was under mandatory evacuation. Nov 10 I was able to go check on my house on Point Dume.… https://www.instagram.com/p/Bqym9VfnqpS/?utm_source=ig_twitter_share&igshid=1hvtwftga6rsa …",irishcntrychic3,Fri Nov 30 04:18:35 +0000 2018,,"nov 8th the woolsey fire broke out and burned 96,949 acres and over 1000 structures. nov 9 malibu was under mandatory evacuation. nov 10 i was able to go check on my house on point dume.… …",False
Yes! This is one of the groups the boys & I helped with just after the Woolsey Fire! #Repost @deityjewels with get_repost ・・・ Because it’s 11 pm on a Tuesday and at this moment THIS… https://www.instagram.com/p/BqwHOUtBIw-/?utm_source=ig_twitter_share&igshid=tvykhuh4fbfn …,BondKathi,Thu Nov 29 05:01:38 +0000 2018,#Repost,yes! this is one of the groups the boys & i helped with just after the woolsey fire! #repost @deityjewels with get_repost ・・・ because it’s 11 pm on a tuesday and at this moment this… …,False
"Today was Matthew’s first day back at school since the Woolsey Fire broke out. His school, Webster Elementary, is the first of all Malibu’s public schools to be open and I have been so… https://www.instagram.com/p/BqvdUaOAd0t/?utm_source=ig_twitter_share&igshid=1ojz53bysihx3 …",KristineSzabo,Wed Nov 28 22:55:23 +0000 2018,,"today was matthew’s first day back at school since the woolsey fire broke out. his school, webster elementary, is the first of all malibu’s public schools to be open and i have been so… …",False
"In awe of the resilience of #agourahills forest after the #woosleyfire Many oaks fell & burn patterns lie in their shapes,but it will regrow. #nature is magic #goadventurekitty @Agoura… https://www.instagram.com/p/BquzKw5H_N-/?utm_source=ig_twitter_share&igshid=4q91c16gwul2 …",macstarr,Wed Nov 28 17:26:45 +0000 2018,#agourahills #woosleyfire #nature #goadventurekitty,"in awe of the resilience of #agourahills forest after the #woosleyfire many oaks fell & burn patterns lie in their shapes,but it will regrow. #nature is magic #goadventurekitty @agoura… …",False
"#malibufires #wearesafe #woosleyfire #malibufires2018 @Malibu, California https://www.instagram.com/p/Bqt2420FGop/?utm_source=ig_twitter_share&igshid=3yzq0fujh1m9 …",iamDNAPhoto,Wed Nov 28 08:00:20 +0000 2018,#malibufires #wearesafe #woosleyfire #malibufires2018,"#malibufires #wearesafe #woosleyfire #malibufires2018 @malibu, california …",False
Free Clothing and Footwear For Malibu Residents affected by The Woolsey Fire Open Daily 11am-5pm Until December 31 The Malibu Country Mart 23410 Civic Center Way Located directly above… https://www.instagram.com/p/BqtdtESAYGU/?utm_source=ig_twitter_share&igshid=506oyugfbz7h …,MalibuBeautiful,Wed Nov 28 04:20:17 +0000 2018,,free clothing and footwear for malibu residents affected by the woolsey fire open daily 11am-5pm until december 31 the malibu country mart 23410 civic center way located directly above… …,False
Tables and chairs are setup for tomorrow night's Downtown Comedy Jam oakandmainventura $10 Tickets and we're donating 20% of all the proceeds to Wild Fire Relief for the #woosleyfire… https://www.instagram.com/p/BqtYMvzA4Lp/?utm_source=ig_twitter_share&igshid=ltyqxr1e8i0p …,jeffurrea,Wed Nov 28 03:34:45 +0000 2018,#woosleyfire,tables and chairs are setup for tomorrow night's downtown comedy jam oakandmainventura $10 tickets and we're donating 20% of all the proceeds to wild fire relief for the #woosleyfire… …,False
This video of the Woolsey Fire blasting through Oak Park reminds me why we give. We choose the Red Cross today. Click our bio link to give. 90% of their work force is volunteer.… https://www.instagram.com/p/BqsyqFxFbeE/?utm_source=ig_twitter_share&igshid=12eumpa60mtzm …,TopangaVintage,Tue Nov 27 22:13:40 +0000 2018,,this video of the woolsey fire blasting through oak park reminds me why we give. we choose the red cross today. click our bio link to give. 90% of their work force is volunteer.… …,False
"The Woolsey Fire was mean and nasty #woosleyfire #malibufire2018 @Malibu, California https://www.instagram.com/p/BqqyV-rlJId/?utm_source=ig_twitter_share&igshid=1lzoiy67xd951 …",iamDNAPhoto,Tue Nov 27 03:22:55 +0000 2018,#woosleyfire #malibufire2018,"the woolsey fire was mean and nasty #woosleyfire #malibufire2018 @malibu, california …",False
"WED NOV 28, 2018 To all fire victims who have lost from Woolsey fire, my good friend and #1 guy of vans, stevevandoren is giving away #Vans shoes and clothing. Steve is a huge advocate… https://www.instagram.com/p/BqplRh2HRIV/?utm_source=ig_twitter_share&igshid=qu6j18ifikiq …",RockDaMullet,Mon Nov 26 16:09:28 +0000 2018,#1 #Vans,"wed nov 28, 2018 to all fire victims who have lost from woolsey fire, my good friend and #1 guy of vans, stevevandoren is giving away #vans shoes and clothing. steve is a huge advocate… …",False
"Woolsey Fire: The Aftermath. 3 people dead. 97,000 acres of forest burned to a crisp. 265,000 people evacuated. 3,000+ firefighters deployed. 2,000 buildings… https://www.instagram.com/p/BqoWo89n08pWzBZCkPqOaT_6Z-gQd6q5gUk7Zw0/?utm_source=ig_twitter_share&igshid=3t9y4znxkbmi …",AllenAmbright,Mon Nov 26 04:43:58 +0000 2018,,"woolsey fire: the aftermath. 3 people dead. 97,000 acres of forest burned to a crisp. 265,000 people evacuated. 3,000+ firefighters deployed. 2,000 buildings… …",False
We went to see what was left of #leocarrillo on Friday and I can't tell you how heartbreaking it is to see the aftermath of the #woosleyfire We walked inside the camp grounds and nothing… https://www.instagram.com/p/BqnvJiLnO_Z/?utm_source=ig_twitter_share&igshid=x52zp0jahe3h …,LindsGreen,Sun Nov 25 23:39:19 +0000 2018,#leocarrillo #woosleyfire,we went to see what was left of #leocarrillo on friday and i can't tell you how heartbreaking it is to see the aftermath of the #woosleyfire we walked inside the camp grounds and nothing… …,False
"Complete devastation from the Woolsey fire in Malibu. #woolseyfire #malibu #malibufire #zuma @Malibu, California https://www.instagram.com/p/BqnfblIgTb6/?utm_source=ig_twitter_share&igshid=ee5lkxlqmfjo …",blendnewbalance,Sun Nov 25 20:39:59 +0000 2018,#woolseyfire #malibu #malibufire #zuma,"complete devastation from the woolsey fire in malibu. #woolseyfire #malibu #malibufire #zuma @malibu, california …",False
"And it’s all done #raiders #raidernation #jeanjacketswag #ididthat #evacuation #malibu #malibufires #woosleyfire #wearesafe @West Hills, California https://www.instagram.com/p/BqmIxR0FbwE/?utm_source=ig_twitter_share&igshid=19dljn23azki8 …",iamDNAPhoto,Sun Nov 25 08:02:41 +0000 2018,#raiders #raidernation #jeanjacketswag #ididthat #evacuation #malibu #malibufires #woosleyfire #wearesafe,"and it’s all done #raiders #raidernation #jeanjacketswag #ididthat #evacuation #malibu #malibufires #woosleyfire #wearesafe @west hills, california …",False
"As this Thanksgiving weekend comes to an end, I want to thank the friends, family and strangers that have supported me since I found out that like hundreds of others, the Woosley fire took… https://www.instagram.com/p/BqkhRc-APbF/?utm_source=ig_twitter_share&igshid=j0nqf78tsvwh …",CaseyDuggan,Sat Nov 24 16:58:21 +0000 2018,,"as this thanksgiving weekend comes to an end, i want to thank the friends, family and strangers that have supported me since i found out that like hundreds of others, the woosley fire took… …",False
Taking a moment to be #thankful that our family and our #community survived the #woosleyfire Over the next few weeks we will be #volunteering and thanking our #firefighter @… https://www.instagram.com/p/Bqi9ksWDfbt/?utm_source=ig_twitter_share&igshid=160qedmdmr7ng …,jordan_fellas,Sat Nov 24 02:28:38 +0000 2018,#thankful #community #woosleyfire #volunteering #firefighter,taking a moment to be #thankful that our family and our #community survived the #woosleyfire over the next few weeks we will be #volunteering and thanking our #firefighter @… …,False
"Everyone wish @mileycyrus a happy birthday today by donating to @happyhippiefdn and their work to help those affected by the #woosleyfire #miley #happyhippiefdn @Malibu, California https://www.instagram.com/p/BqiLoycHNmN/?utm_source=ig_twitter_share&igshid=1umcvc6pjwfxt …",CodyLinley,Fri Nov 23 19:10:45 +0000 2018,#woosleyfire #miley #happyhippiefdn,"everyone wish @mileycyrus a happy birthday today by donating to @happyhippiefdn and their work to help those affected by the #woosleyfire #miley #happyhippiefdn @malibu, california …",False
@cafegratitude served donation-based meals where all proceeds went to victims of the Woolsey Fire so that’s how these fine folks and I spent the afternoon. #veganthanksgiving @Café Gratitude https://www.instagram.com/p/BqgMx0PlYDA/?utm_source=ig_twitter_share&igshid=vj343rxeg4bv …,SilverBlizzard,Fri Nov 23 00:43:24 +0000 2018,#veganthanksgiving,@cafegratitude served donation-based meals where all proceeds went to victims of the woolsey fire so that’s how these fine folks and i spent the afternoon. #veganthanksgiving @café gratitude …,False
Just finished a little #run in the Santa Monica #mountains so sad to see the devastation. My heart goes out to all the #families who lost their #home #woosleyfire… https://www.instagram.com/ultrashannon/p/Bqf3ZA_Bceb/?utm_source=ig_twitter_share&igshid=ishp0tcf2ozt …,Run100milesMom,Thu Nov 22 21:35:48 +0000 2018,#run #mountains #families #home #woosleyfire,just finished a little #run in the santa monica #mountains so sad to see the devastation. my heart goes out to all the #families who lost their #home #woosleyfire… …,False
"Ashes Woolsey Fire @Agoura Hills, California https://www.instagram.com/p/BqfxrmjFdms/?utm_source=ig_twitter_share&igshid=1dikhkzhqn721 …",ChristinaMcFaul,Thu Nov 22 20:46:12 +0000 2018,,"ashes woolsey fire @agoura hills, california …",False
"Just saw this foursome hanging out at Station 67. #thankful #wildlife #station67 #woosleyfire #montenido #drivesafe @Monte Nido, California https://www.instagram.com/p/BqdeRISDv-s/?utm_source=ig_twitter_share&igshid=1dj7ixglfbn3o …",danasparksreal,Wed Nov 21 23:21:02 +0000 2018,#thankful #wildlife #station67 #woosleyfire #montenido #drivesafe,"just saw this foursome hanging out at station 67. #thankful #wildlife #station67 #woosleyfire #montenido #drivesafe @monte nido, california …",False
Currently stationed at the Woolsey Fire Recovery Operations Command Post here in Malibu. #woolseyfire #firstresponders #publicsafety #lacounty @Malibu Bluffs Park https://www.instagram.com/p/Bqc7HD3BZkm/?utm_source=ig_twitter_share&igshid=16yf0ssmpjne …,djardster,Wed Nov 21 18:10:20 +0000 2018,#woolseyfire #firstresponders #publicsafety #lacounty,currently stationed at the woolsey fire recovery operations command post here in malibu. #woolseyfire #firstresponders #publicsafety #lacounty @malibu bluffs park …,False
Post #californiafires the calm before the storm #California #lelalelolife #malibufire #woosleyfire @Malibu Creek State Park https://www.instagram.com/p/BqY72gSDiLoUJNCN-X6LJgZhSz7jKQPmdBNjGc0/?utm_source=ig_twitter_share&igshid=jixvktsoi562 …,Lela_snowboardz,Tue Nov 20 04:59:43 +0000 2018,#californiafires #California #lelalelolife #malibufire #woosleyfire,post #californiafires the calm before the storm #california #lelalelolife #malibufire #woosleyfire @malibu creek state park …,False
"We have an incredible roster of musicians helping us raise money to support victims of the Woolsey Fire at Monday Monday tonight. Come support! Please note tickets will be $10 tonight, and… https://www.instagram.com/p/BqYE3Lqn8YT/?utm_source=ig_twitter_share&igshid=yf74rqlozaa7 …",thehotelcafe,Mon Nov 19 20:59:11 +0000 2018,,"we have an incredible roster of musicians helping us raise money to support victims of the woolsey fire at monday monday tonight. come support! please note tickets will be $10 tonight, and… …",False
Your #ComptonFireFighters assisted @lacofireairops in air hoisting an injured Firefighter (with a non-life threatening injury) out of a drainage during the Woosley Fire. #BrushFire… https://www.instagram.com/p/BqV-SE6FVzf/?utm_source=ig_twitter_share&igshid=p91w03vfnir1 …,ComptonFF,Mon Nov 19 17:27:05 +0000 2018,#ComptonFireFighters #BrushFire,your #comptonfirefighters assisted @lacofireairops in air hoisting an injured firefighter (with a non-life threatening injury) out of a drainage during the woosley fire. #brushfire… …,False
This video is from point dume before the woolsey fire go ahead and check it out on YouTube. Make sure you leave a like and subscribe if you are new. #pointdume #woolseyfire… https://www.instagram.com/p/BqV_bghnQpY/?utm_source=ig_twitter_share&igshid=1qtgo3xqj75i2 …,dronatic209,Mon Nov 19 01:36:52 +0000 2018,#pointdume #woolseyfire,this video is from point dume before the woolsey fire go ahead and check it out on youtube. make sure you leave a like and subscribe if you are new. #pointdume #woolseyfire… …,False
Woolsey Fire survivors... #WoolseyFire #deer #survivors #imbroimages #nikon #abc7eyewitness #nbcla #ktla #losangelesgrammers #caligammers #calabasas #calabasasfire #strapsbyelroobs… https://www.instagram.com/p/BqV7inlh3SN/?utm_source=ig_twitter_share&igshid=ixip5zh0q16u …,merch313_,Mon Nov 19 00:59:14 +0000 2018,#WoolseyFire #deer #survivors #imbroimages #nikon #abc7eyewitness #nbcla #ktla #losangelesgrammers #caligammers #calabasas #calabasasfire #strapsbyelroobs,woolsey fire survivors... #woolseyfire #deer #survivors #imbroimages #nikon #abc7eyewitness #nbcla #ktla #losangelesgrammers #caligammers #calabasas #calabasasfire #strapsbyelroobs… …,False
Prayers and good vibes to all that are effected by the devastation in the Woolsey Fire. These pics taken around Oak Park... #WoolseyFire #devastation #losthomes #imbroimages #nikon… https://www.instagram.com/p/BqV6mMOBjvS/?utm_source=ig_twitter_share&igshid=fslm4u5l5qzc …,merch313_,Mon Nov 19 00:51:12 +0000 2018,#WoolseyFire #devastation #losthomes #imbroimages #nikon,prayers and good vibes to all that are effected by the devastation in the woolsey fire. these pics taken around oak park... #woolseyfire #devastation #losthomes #imbroimages #nikon… …,False
"This seafood was bomb, would smash again. Also, prayers up for everyone in the Woolsey Fire (in Malibu and Thousand Oaks area) rn. @Malibu Seafood Fresh Fish Market & Patio Cafe https://www.instagram.com/p/BqVPmPuAtom/?utm_source=ig_twitter_share&igshid=h3n8y2iyiie1 …",TheKiddJesus,Sun Nov 18 18:35:16 +0000 2018,,"this seafood was bomb, would smash again. also, prayers up for everyone in the woolsey fire (in malibu and thousand oaks area) rn. @malibu seafood fresh fish market & patio cafe …",False
"Thank you dallasfirerescue for coming together in bravery and integrity #firefighters #heroes #woosleyfire #togetherwestand #onelove #malibustrong @Malibu, California https://www.instagram.com/p/BqVM4mugbjZ/?utm_source=ig_twitter_share&igshid=8pr33qsu9dwe …",KristineSzabo,Sun Nov 18 18:11:36 +0000 2018,#firefighters #heroes #woosleyfire #togetherwestand #onelove #malibustrong,"thank you dallasfirerescue for coming together in bravery and integrity #firefighters #heroes #woosleyfire #togetherwestand #onelove #malibustrong @malibu, california …",False
Praying for my #la fam & anyone that was effected by the #woosleyfire #california . . . #djgeez #philly #realdjs #clubking #hiphop #rap #music #lit #nyc #la #houston #miami #dallas… https://www.instagram.com/p/BqU6CqvHus8/?utm_source=ig_twitter_share&igshid=ie94ajmmcdt1 …,djgeez215,Sun Nov 18 15:26:56 +0000 2018,#la #woosleyfire #california #djgeez #philly #realdjs #clubking #hiphop #rap #music #lit #nyc #la #houston #miami #dallas,praying for my #la fam & anyone that was effected by the #woosleyfire #california . . . #djgeez #philly #realdjs #clubking #hiphop #rap #music #lit #nyc #la #houston #miami #dallas… …,False
LEASED !!! One woolsey fire victim Blessed! Such a great feeling to help one of the lovely families who were affected by the Woolsey fire. Our house was vacant and furnished. I have… https://www.instagram.com/p/BqT_oKEnC5F/?utm_source=ig_twitter_share&igshid=1c6msu9k9kxhn …,John12110879,Sun Nov 18 06:56:30 +0000 2018,,leased !!! one woolsey fire victim blessed! such a great feeling to help one of the lovely families who were affected by the woolsey fire. our house was vacant and furnished. i have… …,False
"Please join me Hunter Payton, ambassador for @shoecrew2012 and the founder @justintinucci as we team up to help raise funds for the victims of the WOOLSEY FIRE which hit close to my home… https://www.instagram.com/p/BqOMwvzg6q7/?utm_source=ig_twitter_share&igshid=ufe4umlclxxn …",TheHunterPayton,Fri Nov 16 23:54:37 +0000 2018,,"please join me hunter payton, ambassador for @shoecrew2012 and the founder @justintinucci as we team up to help raise funds for the victims of the woolsey fire which hit close to my home… …",False
"One of goals of Arrogant Observer is to capture places before they change. While we worry most about gentrification, the Woolsey fire reminded us that change can come in other ways. On… https://www.instagram.com/p/BqQZgBZAJQG/?utm_source=ig_twitter_share&igshid=193p8ki5s45co …",rolandoemora,Fri Nov 16 21:57:00 +0000 2018,,"one of goals of arrogant observer is to capture places before they change. while we worry most about gentrification, the woolsey fire reminded us that change can come in other ways. on… …",False
"Returning home to my neighborhood, I am so impressed our community and our courage, strength and commitment to our beloved Home #MalibuStrong #malibu #woosleyfire #community @Malibu,… https://www.instagram.com/p/BqQYMsdgBFr/?utm_source=ig_twitter_share&igshid=xidktteh126k …",KristineSzabo,Fri Nov 16 21:15:06 +0000 2018,#MalibuStrong #malibu #woosleyfire #community,"returning home to my neighborhood, i am so impressed our community and our courage, strength and commitment to our beloved home #malibustrong #malibu #woosleyfire #community @malibu,… …",False
"This is pretty cool, the homie @stonerokk created a webpage to register, to report, and how to foster lost and displaced animals due to the Woolsey fire in SoCal. If you feel compelled to… https://www.instagram.com/p/BqQRrYQF1XR/?utm_source=ig_twitter_share&igshid=9ytez902zn3 …",akepeleapparel,Fri Nov 16 20:17:19 +0000 2018,,"this is pretty cool, the homie @stonerokk created a webpage to register, to report, and how to foster lost and displaced animals due to the woolsey fire in socal. if you feel compelled to… …",False
LA-friends!!! Please come out to support the relief effort for those affected by the Woolsey fire in Malibu! Anything will help! I’ll be there on the early side... Hoping to see as… https://www.instagram.com/p/BqQRFd3h2kZ/?utm_source=ig_twitter_share&igshid=wf9ccm6j9lz7 …,HallKristina,Fri Nov 16 20:12:07 +0000 2018,,la-friends!!! please come out to support the relief effort for those affected by the woolsey fire in malibu! anything will help! i’ll be there on the early side... hoping to see as… …,False
"Tonight, Singles Going Steady returns @GoldDiggersLAX with A Rock & Roll Rain Dance Party benefitting victims of the Woolsey Fire. FREE w/ RSVP. We’re accepting donations at the door… https://www.instagram.com/p/BqQCSqHBtr5/?utm_source=ig_twitter_share&igshid=qgj319wkjk30 …",PLEASUREPMUSIC,Fri Nov 16 18:03:03 +0000 2018,,"tonight, singles going steady returns @golddiggerslax with a rock & roll rain dance party benefitting victims of the woolsey fire. free w/ rsvp. we’re accepting donations at the door… …",False
"The #woosleyfire has been destructive for many of my closest friends. It has affected many of us, as well as animals and birds. Nests have been burnt along with many new borns. #owls… https://www.instagram.com/p/BqQBuiwgE9H/?utm_source=ig_twitter_share&igshid=1txpzz06fmhu8 …",rssaha,Fri Nov 16 17:57:52 +0000 2018,#woosleyfire #owls,"the #woosleyfire has been destructive for many of my closest friends. it has affected many of us, as well as animals and birds. nests have been burnt along with many new borns. #owls… …",False
"Our hearts go out to those working to recover from the Woolsey Fire & to our furry friends who have been evacuated & are in need of sanctuary. Today (Friday), Saturday & Sunday we will be… https://www.instagram.com/p/BqQBn0whLEw/?utm_source=ig_twitter_share&igshid=yd7r0uky25k8 …",SpringStBarLA,Fri Nov 16 17:56:57 +0000 2018,,"our hearts go out to those working to recover from the woolsey fire & to our furry friends who have been evacuated & are in need of sanctuary. today (friday), saturday & sunday we will be… …",False
"Our hearts go out to those working to recover from the Woolsey Fire & to our furry friends who have been evacuated & are in need of sanctuary. This Friday, Saturday & Sunday we will be… https://www.instagram.com/p/BqP-RDoBd2q/?utm_source=ig_twitter_share&igshid=1opdmsjcqgxw9 …",CornerCantinaLA,Fri Nov 16 17:27:46 +0000 2018,,"our hearts go out to those working to recover from the woolsey fire & to our furry friends who have been evacuated & are in need of sanctuary. this friday, saturday & sunday we will be… …",False
"Our hearts go out to those working to recover from the Woolsey Fire & to our furry friends who have been evacuated & are in need of sanctuary. This Friday, Saturday & Sunday we will be… https://www.instagram.com/p/BqOnOqchfXI/?utm_source=ig_twitter_share&igshid=byhgk1nisbtl …",BeelmansLA,Fri Nov 16 04:47:20 +0000 2018,,"our hearts go out to those working to recover from the woolsey fire & to our furry friends who have been evacuated & are in need of sanctuary. this friday, saturday & sunday we will be… …",False
I went out #running in the #mountains which were hit by the #woosleyfire I heard that #animals are out still wondering. I was in search of finding any lost fur babies. I read… https://www.instagram.com/ultrashannon/p/BqOZiWsh9WG/?utm_source=ig_twitter_share&igshid=1n2hqojkw4e62 …,Run100milesMom,Fri Nov 16 02:47:29 +0000 2018,#running #mountains #woosleyfire #animals,i went out #running in the #mountains which were hit by the #woosleyfire i heard that #animals are out still wondering. i was in search of finding any lost fur babies. i read… …,False
"Such a clear day in Hollywood , let us pray for the victims of the Woolsey Fire . #wildfire #climatechange #people #usa #compassion @Hollywood https://www.instagram.com/p/BqN6F_ilFHF/?utm_source=ig_twitter_share&igshid=b3dkeaxo4ff7 …",CurtisSabir,Thu Nov 15 22:17:15 +0000 2018,#wildfire #climatechange #people #usa #compassion,"such a clear day in hollywood , let us pray for the victims of the woolsey fire . #wildfire #climatechange #people #usa #compassion @hollywood …",False
"I forgot to share this on Tuesday night. As we were leaving LAX, smoke (and flames) from the Woolsey Fire could be seen in the distance. How sad that this happens so much. @Malibu,… https://www.instagram.com/p/BqN2ZPxgcMe/?utm_source=ig_twitter_share&igshid=5fjmu0xq60x1 …",j_calderon,Thu Nov 15 21:40:20 +0000 2018,,"i forgot to share this on tuesday night. as we were leaving lax, smoke (and flames) from the woolsey fire could be seen in the distance. how sad that this happens so much. @malibu,… …",False
"This next Monday, Nov 19th 2018, Joel has put together a fundraising event to help victims of the Woolsey Fire. Many people from the community have lost their homes and this is an effort… https://www.instagram.com/p/BqNrXL3hC-A/?utm_source=ig_twitter_share&igshid=l168dfb0wr2f …",mikevitalemusic,Thu Nov 15 20:03:57 +0000 2018,,"this next monday, nov 19th 2018, joel has put together a fundraising event to help victims of the woolsey fire. many people from the community have lost their homes and this is an effort… …",False
days up at the Woolsey Fire ... pretty cool to see fire departments from as far as Texas helping us out! Crazy to see what was once green is completely gone… https://www.instagram.com/p/BqMFS1Alj2mXiQ23gBubjPidHxBHwFS-Ve7yKE0/?utm_source=ig_twitter_share&igshid=13exsvvxfmmvd …,MikeGalosic,Thu Nov 15 05:12:02 +0000 2018,,days up at the woolsey fire ... pretty cool to see fire departments from as far as texas helping us out! crazy to see what was once green is completely gone… …,False
"I had the pleasure of working with exceptionally talented vendors/creatives on this breathtaking shoot at stonewallranchmalibu. Sadly, this venue was affected by the Woosley fire. This… https://www.instagram.com/p/BqL1PPblo8N/?utm_source=ig_twitter_share&igshid=1xlrqto8m013m …",RachelleMUA,Thu Nov 15 02:53:13 +0000 2018,,"i had the pleasure of working with exceptionally talented vendors/creatives on this breathtaking shoot at stonewallranchmalibu. sadly, this venue was affected by the woosley fire. this… …",False
"Liam Hemsworth compartió esta foto de los restos de su casa y de la de Miley Cyrus después de que el Woolsey Fire arrasó #Malibu. La pareja donó $500,000 a una fundación local para… https://www.instagram.com/p/BqLz38zgWJw/?utm_source=ig_twitter_share&igshid=1glp5zu92jefs …",javillanueva67,Thu Nov 15 02:39:49 +0000 2018,#Malibu,"liam hemsworth compartió esta foto de los restos de su casa y de la de miley cyrus después de que el woolsey fire arrasó #malibu. la pareja donó $500,000 a una fundación local para… …",False
Great break break from the #fires in #losangeles to watch the sun go down in #playadelrey with @kevinkeroseen ! . . . . #woosleyfire #lafires #burn #evacuated #friends #coworkers #sunset… https://www.instagram.com/p/BqLy-13hnJf/?utm_source=ig_twitter_share&igshid=15b2xeht6k9xl …,rynoryder,Thu Nov 15 02:32:03 +0000 2018,#fires #losangeles #playadelrey #woosleyfire #lafires #burn #evacuated #friends #coworkers #sunset,great break break from the #fires in #losangeles to watch the sun go down in #playadelrey with @kevinkeroseen ! . . . . #woosleyfire #lafires #burn #evacuated #friends #coworkers #sunset… …,False
"What to do right after your woolsey_fire evacuation order is lifted? Throw a #rockstar #lachef dinner at your house, natch! That’s what @ccaplosangeles #supporter terriecooper did last… https://www.instagram.com/p/BqLmubFB2w-/?utm_source=ig_twitter_share&igshid=pv7i12ty9vvq …",CCAPLosAngeles,Thu Nov 15 00:44:57 +0000 2018,#rockstar #lachef #supporter,"what to do right after your woolsey_fire evacuation order is lifted? throw a #rockstar #lachef dinner at your house, natch! that’s what @ccaplosangeles #supporter terriecooper did last… …",False
"Day 7 (or 1 week) of #WoosleyFire in #Malibu #leocarrillo @Malibu, California https://www.instagram.com/p/BqLg9qmFW7C/?utm_source=ig_twitter_share&igshid=s56ez6zfd8b …",cbstuart,Wed Nov 14 23:54:40 +0000 2018,#WoosleyFire #Malibu #leocarrillo,"day 7 (or 1 week) of #woosleyfire in #malibu #leocarrillo @malibu, california …",False
Very happy to serve #firefighters of the #woosleyfire camarillo.airport Thanks again for fighting the good fight @Camarillo Airport https://www.instagram.com/p/BqLU8i2laUn/?utm_source=ig_twitter_share&igshid=1ii67tagszz9b …,atomicafemobile,Wed Nov 14 22:10:34 +0000 2018,#firefighters #woosleyfire,very happy to serve #firefighters of the #woosleyfire camarillo.airport thanks again for fighting the good fight @camarillo airport …,False
"Woolsey Fire Restoration Services Thousand Oaks, CA https://www.innercityskylineinc.com/blog/2018/11/14/woolsey-fire-restoration-services-thousand-oaks-ca …",skylineremodel,Wed Nov 14 18:41:01 +0000 2018,,"woolsey fire restoration services thousand oaks, ca …",False
Singles Going Steady returns this Friday @GoldDiggersLAX with A Rock & Roll Rain Dance Party benefitting victims of the Woolsey Fire. FREE w/ RSVP. We’re accepting donations at the door… https://www.instagram.com/p/BqK39HEhI3R/?utm_source=ig_twitter_share&igshid=n9c9klv93s6a …,PLEASUREPMUSIC,Wed Nov 14 17:56:40 +0000 2018,,singles going steady returns this friday @golddiggerslax with a rock & roll rain dance party benefitting victims of the woolsey fire. free w/ rsvp. we’re accepting donations at the door… …,False
"#woosleyfire #malibu #disasterassistance #fema onelovemalibu register now @Malibu, California https://www.instagram.com/p/BqKhcw2DcDE/?utm_source=ig_twitter_share&igshid=1urvmni7rihmk …",hinnebusch,Wed Nov 14 14:39:35 +0000 2018,#woosleyfire #malibu #disasterassistance #fema,"#woosleyfire #malibu #disasterassistance #fema onelovemalibu register now @malibu, california …",False
"Just when you think the worst of Woolsey Fire is over and some mandatory evacuations get lifted, this plume of smoke appears from nowhere in the Carlisle Canyon above Westlake Village… https://www.instagram.com/p/BqKPu1tnk2b/?utm_source=ig_twitter_share&igshid=gnkwhm0uizqs …",kjdrill,Wed Nov 14 12:04:47 +0000 2018,,"just when you think the worst of woolsey fire is over and some mandatory evacuations get lifted, this plume of smoke appears from nowhere in the carlisle canyon above westlake village… …",False
"I'm thankful my neighborhood avoided the Woolsey Fire, but was reminded tonight while driving past a burning tree in Encino to be as ready as possible. Two-pack of fire extinguishers for… https://www.instagram.com/p/BqJp8Asn_dL/?utm_source=ig_twitter_share&igshid=1ttliaii4gb4r …",YourBoyBleau,Wed Nov 14 06:34:57 +0000 2018,,"i'm thankful my neighborhood avoided the woolsey fire, but was reminded tonight while driving past a burning tree in encino to be as ready as possible. two-pack of fire extinguishers for… …",False
Got to love Malibu for taking their sheep with their Tesla out of harm. #corralcanyon #woosleyfire #malibu #communitylove @Corral Canyon Park https://www.instagram.com/p/BqJOhuFHuAV/?utm_source=ig_twitter_share&igshid=96q5odafqdk7 …,SharifMarzieh,Wed Nov 14 02:36:40 +0000 2018,#corralcanyon #woosleyfire #malibu #communitylove,got to love malibu for taking their sheep with their tesla out of harm. #corralcanyon #woosleyfire #malibu #communitylove @corral canyon park …,False
"Many Celebrities Lost their Homes in the Woolsey Fire but the Public Mostly Cares About One - a_giraffe_named_stanley : @MalibuWine @whitneycummings | Malibu, CA | #woolseyfire… https://www.instagram.com/p/BqJKRuiBz_q/?utm_source=ig_twitter_share&igshid=1nvvksytgsjg5 …",PaparaziDiaries,Wed Nov 14 01:57:52 +0000 2018,#woolseyfire,"many celebrities lost their homes in the woolsey fire but the public mostly cares about one - a_giraffe_named_stanley : @malibuwine @whitneycummings | malibu, ca | #woolseyfire… …",False
