Full Text,Author,Creation Time,Hashtags,text,useful tweet
"Aftermath #hotproperties Lee does #realtyinMalibu. #homeless #CAfires #malibufire #woolseyfire #fire Leo had no water pressure, never saw a fire truck or firefighter #refugee @Santa… https://www.instagram.com/p/BqArQ6DhUs8/?utm_source=ig_twitter_share&igshid=k3xd2zjpdwu6 …",AnneLinstatter,Sat Nov 10 18:53:11 +0000 2018,#hotproperties #realtyinMalibu #homeless #CAfires #malibufire #woolseyfire #fire #refugee,"aftermath #hotproperties lee does #realtyinmalibu. #homeless #cafires #malibufire #woolseyfire #fire leo had no water pressure, never saw a fire truck or firefighter #refugee @santa… …",False
Our backyard in different times is now smelling of smoke. Horrified by the California fires and the Thousand Oaks shooting. Just a reminder that our lives and our planet our precious and… https://www.instagram.com/p/BqAqN0vgFh6/?utm_source=ig_twitter_share&igshid=1a06yhuaf1k1a …,JaclynRJohnson,Sat Nov 10 18:43:50 +0000 2018,,our backyard in different times is now smelling of smoke. horrified by the california fires and the thousand oaks shooting. just a reminder that our lives and our planet our precious and… …,False
"As an effort to help as much as we can during these fires too close to home, we are donating 10% of our profits today to the LAFD to assist in their firefighting efforts. We also have… https://www.instagram.com/p/BqAptDkhyvb/?utm_source=ig_twitter_share&igshid=1tqbyjcvp0wn5 …",Calidelphia,Sat Nov 10 18:39:19 +0000 2018,,"as an effort to help as much as we can during these fires too close to home, we are donating 10% of our profits today to the lafd to assist in their firefighting efforts. we also have… …",False
Prayers for #losangeles #california so much is going on Thank you to our #firstresponders working hard to contain the fires @Redondo Beach Marina https://www.instagram.com/p/BqApIIjjBKH/?utm_source=ig_twitter_share&igshid=9gn1ratw8cse …,urbanmorgans,Sat Nov 10 18:38:32 +0000 2018,#losangeles #california #firstresponders,prayers for #losangeles #california so much is going on thank you to our #firstresponders working hard to contain the fires @redondo beach marina …,False
My yard Yesterday when I returned from my morning 45 min. walk. Was not there when I left..Fires move very swiftly. The awesome firefighters and helicopter drops made this fire smoke cloud… https://www.instagram.com/p/BqApJ--BuVZ/?utm_source=ig_twitter_share&igshid=dpeuro1dq2hj …,wandaraywillis,Sat Nov 10 18:34:42 +0000 2018,,my yard yesterday when i returned from my morning 45 min. walk. was not there when i left..fires move very swiftly. the awesome firefighters and helicopter drops made this fire smoke cloud… …,False
"I like that my parents are suddenly concerned with my safety because of these fires, but not how many times I’ve crashed my bike after 2am.",bageldogging,Sat Nov 10 18:28:35 +0000 2018,,"i like that my parents are suddenly concerned with my safety because of these fires, but not how many times i’ve crashed my bike after 2am.",False
"#prayformalibu #californiafireseason2018 Stay Strong Fire Fighters! #heroesofthestorm @Los Angeles, California https://www.instagram.com/p/BqAnoMQHx-6/?utm_source=ig_twitter_share&igshid=1chaskj1erfld …",Carmela_Tunzi,Sat Nov 10 18:23:54 +0000 2018,#prayformalibu #californiafireseason2018 #heroesofthestorm,"#prayformalibu #californiafireseason2018 stay strong fire fighters! #heroesofthestorm @los angeles, california …",False
"Malibu Fires, Nov 2018 . #unedited #nofilter #untouched #canon600D #malibu #fires #wildfires #malibufires @Santa Monica, California https://www.instagram.com/p/BqAlN5oFurH/?utm_source=ig_twitter_share&igshid=1eloem9g3ps2c …",Cinders_IB,Sat Nov 10 18:15:21 +0000 2018,#unedited #nofilter #untouched #canon600D #malibu #fires #wildfires #malibufires,"malibu fires, nov 2018 . #unedited #nofilter #untouched #canon600d #malibu #fires #wildfires #malibufires @santa monica, california …",False
#woolseyfire davidshaver thank you! he made a quick and dirty map overlay to help contextualize just how big these fires are in comparison to other USA cities. #besafe #prayers… https://www.instagram.com/p/BqAm8wOAl_a/?utm_source=ig_twitter_share&igshid=1o7v7grpnjulg …,Biancarealtor,Sat Nov 10 18:15:14 +0000 2018,#woolseyfire #besafe #prayers,#woolseyfire davidshaver thank you! he made a quick and dirty map overlay to help contextualize just how big these fires are in comparison to other usa cities. #besafe #prayers… …,False
"Talking a morning walk in #santamonica and if you look closely you can see the smoke from the Malibu fires, let’s hope the wind stop today and this tragedy is contained #climatechange… https://www.instagram.com/p/BqAmMqKnpU9/?utm_source=ig_twitter_share&igshid=1g4zvxo8i2bpc …",martini2k,Sat Nov 10 18:08:46 +0000 2018,#santamonica #climatechange,"talking a morning walk in #santamonica and if you look closely you can see the smoke from the malibu fires, let’s hope the wind stop today and this tragedy is contained #climatechange… …",False
Hoping all the breathing lives were safe from fires last night. Let’s pray for the firefighters and their families too - and all the civilian rescue teams ! You are all hero’s.… https://www.instagram.com/p/BqAln0PF49r/?utm_source=ig_twitter_share&igshid=grjketh5cddx …,Gol_,Sat Nov 10 18:03:44 +0000 2018,,hoping all the breathing lives were safe from fires last night. let’s pray for the firefighters and their families too - and all the civilian rescue teams ! you are all hero’s.… …,False
"Malibu on Fire, Nov 2018 . #untouched #unedited #nofilter #canon600D #fire #malibu #wildfires @Santa Monica, California https://www.instagram.com/p/BqAkuxOForb/?utm_source=ig_twitter_share&igshid=ksx9vr2v13j0 …",Cinders_IB,Sat Nov 10 17:55:51 +0000 2018,#untouched #unedited #nofilter #canon600D #fire #malibu #wildfires,"malibu on fire, nov 2018 . #untouched #unedited #nofilter #canon600d #fire #malibu #wildfires @santa monica, california …",False
"Update: we are still under evacuation in a hotel. My daughter is a trooper. Yesterday looked bad as the fire entered our community, but our house is still standing. A fire truck is… https://www.instagram.com/p/BqAkrHmHEZc/?utm_source=ig_twitter_share&igshid=1vglc1dmduwnq …",EdwardRicourt,Sat Nov 10 17:55:22 +0000 2018,,"update: we are still under evacuation in a hotel. my daughter is a trooper. yesterday looked bad as the fire entered our community, but our house is still standing. a fire truck is… …",False
When I saw this photo I just couldn’t believe it was real.. it is. Truly devastating fires. The wind is still pushing the fires. It’s very sad. #california #wildfires #pch #malibu #smoke… https://www.instagram.com/p/BqAkah6F_4h/?utm_source=ig_twitter_share&igshid=16z7al0vvqi7k …,JessicatChase,Sat Nov 10 17:54:24 +0000 2018,#california #wildfires #pch #malibu #smoke,when i saw this photo i just couldn’t believe it was real.. it is. truly devastating fires. the wind is still pushing the fires. it’s very sad. #california #wildfires #pch #malibu #smoke… …,False
"Deep in my heart there’s a house That can hold just about all of you... We are humbled by these ferocious fires. To all our families and cherished friends in Malibu, we send love today… https://www.instagram.com/p/BqAfLHvl79d/?utm_source=ig_twitter_share&igshid=1n0znrn4zm7sq …",DianeRosenstein,Sat Nov 10 17:49:19 +0000 2018,,"deep in my heart there’s a house that can hold just about all of you... we are humbled by these ferocious fires. to all our families and cherished friends in malibu, we send love today… …",False
"#malibu #fire #video driving west on the 10 freeway @911battery @Crenshaw, Los Angeles https://www.instagram.com/p/BqAiwUUAI55/?utm_source=ig_twitter_share&igshid=1k3kgassa99sr …",911battery,Sat Nov 10 17:42:46 +0000 2018,#malibu #fire #video,"#malibu #fire #video driving west on the 10 freeway @911battery @crenshaw, los angeles …",False
"Please pray for these fires to get contained and for the brave firefighters, volunteers and rescue groups helping people & animals to evacuate safely ...… https://www.instagram.com/p/BqAiqoRFqZB/?utm_source=ig_twitter_share&igshid=r8ll9rcm9ax0 …",taniamariaglow,Sat Nov 10 17:38:12 +0000 2018,,"please pray for these fires to get contained and for the brave firefighters, volunteers and rescue groups helping people & animals to evacuate safely ...… …",False
"Malibu and Calabasas are on fire. Celebrities including #LadyGaga, #KimKardashianWest, #RainnWilson and #MelissaEtheridge are among the thousands forced to flee their homes as fires… https://www.instagram.com/p/BqAiVRJlqcS/?utm_source=ig_twitter_share&igshid=v7ryur70m1n4 …",RaponiNYC,Sat Nov 10 17:34:53 +0000 2018,#LadyGaga #KimKardashianWest #RainnWilson #MelissaEtheridge,"malibu and calabasas are on fire. celebrities including #ladygaga, #kimkardashianwest, #rainnwilson and #melissaetheridge are among the thousands forced to flee their homes as fires… …",False
"Can’t stop thinking about all the families impacted by the fires, and heartbroken for those in need. If you, like me, are lucky enough to be safe, please consider donating to @baby2baby,… https://www.instagram.com/p/BqAhm11A0-S/?utm_source=ig_twitter_share&igshid=17eo05b0gnll4 …",hillarykerr,Sat Nov 10 17:34:49 +0000 2018,,"can’t stop thinking about all the families impacted by the fires, and heartbroken for those in need. if you, like me, are lucky enough to be safe, please consider donating to @baby2baby,… …",False
My heart is breaking for the people effected by these fires. I lived in Malibu for a few years and have heard that several of our old neighbors have lost their homes. Stay strong… https://www.instagram.com/p/BqAhCeMhFPq/?utm_source=ig_twitter_share&igshid=zlk6vwobytbw …,boombip,Sat Nov 10 17:23:36 +0000 2018,,my heart is breaking for the people effected by these fires. i lived in malibu for a few years and have heard that several of our old neighbors have lost their homes. stay strong… …,False
